company,wiki_title,wiki_href,official_site,status,keep_for_brand_guide_pool,evidence_url,evidence_type,notes
PDD Holdings,Pinduoduo,https://de.wikipedia.org/wiki/Pinduoduo,https://pinduoduo.com,partial_official_material,yes,https://pinduoduo.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Pepsico,Pepsico,https://de.wikipedia.org/wiki/Pepsico,https://www.pepsico.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Petrobras,Petrobras,https://de.wikipedia.org/wiki/Petrobras,https://www.petrobras.com.br,not_yet_confirmed,no,,,"No brand-guide, media, logo, or culture signal was found on the scanned official-domain pages."
PetroChina,PetroChina,https://de.wikipedia.org/wiki/PetroChina,https://www.petrochina.com.cn,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Philip Morris International,Philip Morris International,https://de.wikipedia.org/wiki/Philip_Morris_International,https://www.pmi.com/,partial_official_material,yes,https://www.pmi.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Phillips 66,Phillips 66,https://de.wikipedia.org/wiki/Phillips_66,https://www.phillips66.com,partial_official_material,yes,https://www.phillips66.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Ping An Insurance,Ping An Insurance,https://de.wikipedia.org/wiki/Ping_An_Insurance,https://www.pingan.com,partial_official_material,yes,https://www.pingan.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Postal Savings Bank of China,Postal Savings Bank of China,https://de.wikipedia.org/wiki/Postal_Savings_Bank_of_China,http://www.psbc.com/cn/index.html,partial_official_material,yes,http://www.psbc.com/cn/index.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Power China,Power China,https://de.wikipedia.org/wiki/Power_China,http://en.powerchina.cn/,partial_official_material,yes,https://en.powerchina.cn/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Procter & Gamble,Procter & Gamble,https://de.wikipedia.org/wiki/Procter_%26_Gamble,http://www.pg.com/,partial_official_material,yes,https://us.pg.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Progressive Corporation,Progressive Corporation,https://de.wikipedia.org/wiki/Progressive_Corporation,https://www.progressive.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Qualcomm,Qualcomm,https://de.wikipedia.org/wiki/Qualcomm,https://www.qualcomm.com/,partial_official_material,yes,https://www.qualcomm.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Reliance Industries,Reliance Industries,https://de.wikipedia.org/wiki/Reliance_Industries,https://www.ril.com/,partial_official_material,yes,https://www.ril.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Rosneft,Rosneft,https://de.wikipedia.org/wiki/Rosneft,https://www.rosneft.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Royal Bank of Canada,Royal Bank of Canada,https://de.wikipedia.org/wiki/Royal_Bank_of_Canada,https://rbc.com,partial_official_material,yes,https://www.rbc.com/newsroom/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
RTX Corporation,RTX Corporation,https://de.wikipedia.org/wiki/RTX_Corporation,https://www.rtx.com/,partial_official_material,yes,https://www.rtx.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
S&P Global Ratings,S&P Global Ratings,https://de.wikipedia.org/wiki/S%26P_Global_Ratings,https://www.spglobal.com/ratings/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Salesforce.com,Salesforce.com,https://de.wikipedia.org/wiki/Salesforce.com,https://www.salesforce.com/,partial_official_material,yes,https://www.salesforce.com/de/?ir=1&bc=DB,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Samsung Electronics,Samsung Electronics,https://de.wikipedia.org/wiki/Samsung_Electronics,https://samsung.com/,partial_official_material,yes,https://www.samsung.com/de/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
SAP,SAP,https://de.wikipedia.org/wiki/SAP,https://www.sap.com/,partial_official_material,yes,https://www.sap.com/design/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Saudi Aramco,Saudi Aramco,https://de.wikipedia.org/wiki/Saudi_Aramco,https://www.aramco.com//,partial_official_material,yes,https://www.aramco.com//,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
ServiceNow,ServiceNow,https://de.wikipedia.org/wiki/ServiceNow,https://www.servicenow.com,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Shandong Energy Group,Shandong Energy Group,https://de.wikipedia.org/wiki/Shandong_Energy_Group,http://www.shandong-energy.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Shell,Royal Dutch Shell,https://de.wikipedia.org/wiki/Royal_Dutch_Shell,https://www.shell.com/,minimal_official_material,no,https://www.shell.com/,minimal_term,Only thin official material surfaced in the scan budget.
Shell,Shell plc,https://de.wikipedia.org/wiki/Shell_plc,https://www.shell.com/,minimal_official_material,no,https://www.shell.com/,minimal_term,Only thin official material surfaced in the scan budget.
Siemens,Siemens,https://de.wikipedia.org/wiki/Siemens,https://www.siemens.com/,partial_official_material,yes,https://www.siemens.com/en-us/products/logo/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Sinopec,Sinopec,https://de.wikipedia.org/wiki/Sinopec,http://www.sinopecgroup.com,partial_official_material,yes,http://www.sinopecgroup.com/group/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Société Générale,Société Générale,https://de.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_G%C3%A9n%C3%A9rale,https://www.societegenerale.com/,partial_official_material,yes,https://www.societegenerale.com/fr,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Sony,Sony,https://de.wikipedia.org/wiki/Sony,https://www.sony.co.in/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
State Bank of India,State Bank of India,https://de.wikipedia.org/wiki/State_Bank_of_India,https://sbi.bank.in,not_yet_confirmed,no,,,"No brand-guide, media, logo, or culture signal was found on the scanned official-domain pages."
State Farm,State Farm,https://de.wikipedia.org/wiki/State_Farm,https://www.statefarm.com/,partial_official_material,yes,https://www.statefarm.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
State Grid,State Grid Corporation,https://de.wikipedia.org/wiki/State_Grid_Corporation,https://www.sgcc.com.cn/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Stellantis,Stellantis,https://de.wikipedia.org/wiki/Stellantis,https://www.stellantis.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
StoneX Group,StoneX Group,https://de.wikipedia.org/wiki/StoneX_Group,https://www.stonex.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Sumitomo Mitsui Financial,Sumitomo Mitsui Financial Group,https://de.wikipedia.org/wiki/Sumitomo_Mitsui_Financial_Group,http://www.smfg.co.jp/,minimal_official_material,no,https://www.smfg.co.jp/,minimal_term,Only thin official material surfaced in the scan budget.
T-Mobile US,T-Mobile US,https://de.wikipedia.org/wiki/T-Mobile_US,https://www.t-mobile.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Taiwan Semiconductor,TSMC,https://de.wikipedia.org/wiki/TSMC,https://www.tsmc.com/,partial_official_material,yes,https://www.tsmc.com/english,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Target Corporation,Target Corporation,https://de.wikipedia.org/wiki/Target_Corporation,https://www.target.com,not_yet_confirmed,no,,,"No brand-guide, media, logo, or culture signal was found on the scanned official-domain pages."
Tata Consultancy Services,Tata Consultancy Services,https://de.wikipedia.org/wiki/Tata_Consultancy_Services,https://www.tcs.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
TD Bank,Toronto-Dominion Bank,https://de.wikipedia.org/wiki/Toronto-Dominion_Bank,http://www.td.com/,partial_official_material,yes,https://www.td.com/ca/en/personal-banking,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Tencent,Tencent Holdings,https://de.wikipedia.org/wiki/Tencent_Holdings,https://www.tencent.com/en-us/,partial_official_material,yes,https://www.tencent.com/en-us/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Tencent,Tencent,https://de.wikipedia.org/wiki/Tencent,https://www.tencent.com/,partial_official_material,yes,https://www.tencent.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
"Tesla, Inc.","Tesla, Inc.","https://de.wikipedia.org/wiki/Tesla,_Inc.",https://www.tesla.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Texas Instruments,Texas Instruments,https://de.wikipedia.org/wiki/Texas_Instruments,https://www.ti.com/,partial_official_material,yes,https://www.ti.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Thermo Fisher Scientific,Thermo Fisher Scientific,https://de.wikipedia.org/wiki/Thermo_Fisher_Scientific,https://www.thermofisher.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
TotalEnergies,TotalEnergies,https://de.wikipedia.org/wiki/TotalEnergies,https://www.totalenergies.com/,partial_official_material,yes,https://totalenergies.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Toyota Motor,Toyota,https://de.wikipedia.org/wiki/Toyota,https://global.toyota,partial_official_material,yes,https://global.toyota,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Trafigura,Trafigura,https://de.wikipedia.org/wiki/Trafigura,https://www.trafigura.com/,partial_official_material,yes,https://www.trafigura.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Uber,Uber (Unternehmen),https://de.wikipedia.org/wiki/Uber_(Unternehmen),https://www.uber.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
UBS,UBS,https://de.wikipedia.org/wiki/UBS,https://www.ubs.com/,partial_official_material,yes,https://www.ubs.com/de/en.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
UnitedHealth,UnitedHealth,https://de.wikipedia.org/wiki/UnitedHealth,https://www.uhc.com/,partial_official_material,yes,https://www.uhc.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Valero Energy,Valero Energy,https://de.wikipedia.org/wiki/Valero_Energy,https://www.valero.com,partial_official_material,yes,https://www.valero.com,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Verizon,Verizon Communications,https://de.wikipedia.org/wiki/Verizon_Communications,https://www.verizon.net,partial_official_material,yes,https://www.verizon.com/etc/designs/vzwcom/gnav20/core.css,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Visa,Visa Inc.,https://de.wikipedia.org/wiki/Visa_Inc.,https://corporate.visa.com/,rich_brand,yes,https://corporate.visa.com/en/about-visa/brand.html,rich_term,Useful official brand-guide material is available.
Volkswagen,Volkswagen AG,https://de.wikipedia.org/wiki/Volkswagen_AG,https://www.volkswagenag.com/,partial_official_material,yes,https://www.volkswagen-group.com/en,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Walgreens Boots Alliance,Walgreens Boots Alliance,https://de.wikipedia.org/wiki/Walgreens_Boots_Alliance,https://www.walgreensbootsalliance.com/,rich_brand,yes,https://corporate.walgreens.com/media-resources/,rich_term,Useful official brand-guide material is available.
Walmart,Walmart,https://de.wikipedia.org/wiki/Walmart,https://www.walmart.com/,partial_official_material,yes,https://www.walmart.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Walt Disney,The Walt Disney Company,https://de.wikipedia.org/wiki/The_Walt_Disney_Company,https://www.disney.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Wells Fargo,Wells Fargo,https://de.wikipedia.org/wiki/Wells_Fargo,https://www.wellsfargo.com/,partial_official_material,yes,https://www.wellsfargo.com/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Xiamen C & D,Xiamen C & D,https://de.wikipedia.org/wiki/Xiamen_C_%26_D,https://www.chinacnd.com/,partial_official_material,yes,https://www.chinacnd.com/index.html,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Xiaomi,Xiaomi,https://de.wikipedia.org/wiki/Xiaomi,https://www.mi.com/,not_yet_confirmed,no,,,Official website did not respond within the scan budget.
Zurich Insurance Group,Zurich Insurance Group,https://de.wikipedia.org/wiki/Zurich_Insurance_Group,https://www.zurich.com/,partial_official_material,yes,https://www.zurich.com/logos,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
Électricité de France,Électricité de France,https://de.wikipedia.org/wiki/%C3%89lectricit%C3%A9_de_France,https://www.edf.fr/,partial_official_material,yes,https://www.edf.fr/,partial_term,"Official brand-adjacent material exists, but it is thinner than a full brand guide."
